Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Wyoming,Mountain West,16-13,0.552,-4,122,6.91,106,45.77,173,84.90,64,26.04,2.76,99,42.75,99,42.75,0.00,0.00
Memphis,American Athletic,13-16,0.448,-3,123,6.91,107,45.73,113,89.24,144,21.67,2.73,80,46.65,80,46.63,0.49,0.51
Jackson St,Southwestern AC,23-6,0.793,-3,105,7.04,108,45.65,120,87.98,116,22.85,2.67,233,35.85,232,35.85,0.00,0.00
Stony Brook,Coastal,25-3,0.893,+6,93,7.15,109,45.58,104,89.66,153,21.09,2.70,262,34.14,263,34.14,0.00,0.00
SMU,American Athletic,14-16,0.467,-10,136,6.81,110,45.53,101,89.74,156,20.96,2.75,88,43.75,88,43.75,0.00,0.00
Grand Canyon,Western Athletic,24-7,0.774,-6,106,7.02,111,45.28,164,85.25,76,25.20,2.70,203,37.21,203,37.21,0.00,0.00
SF Austin,Western Athletic,20-11,0.645,-4,133,6.82,112,45.20,70,91.92,208,18.45,2.79,187,37.98,188,37.98,0.00,0.00
Davidson,Atlantic 10,18-8,0.692,-3,110,7.00,113,45.16,180,84.60,69,25.73,2.66,135,40.37,133,40.37,0.00,0.00
Troy,Sun Belt,19-11,0.633,-8,120,6.91,114,45.14,25,98.75,339,11.56,2.71,115,41.42,115,41.42,0.00,0.00
Illinois St,Missouri Val,20-10,0.667,-1,109,7.00,115,45.06,106,89.57,166,20.67,2.72,118,41.32,118,41.32,0.00,0.00
Murray St,Missouri Val,19-10,0.655,-3,119,6.93,116,44.96,33,97.37,324,12.77,2.65,126,40.74,126,40.74,0.00,0.00
James Madison,Sun Belt,22-10,0.688,+2,111,6.99,117,44.85,112,89.31,162,20.72,2.63,131,40.55,130,40.46,0.71,0.29
Pittsburgh,Atlantic Coast,8-24,0.250,-5,142,6.71,118,44.83,143,86.56,107,23.44,2.69,69,50.06,69,50.06,0.00,0.00
Providence,Big East,13-20,0.394,+5,131,6.82,119,44.74,185,84.14,68,25.78,2.70,78,47.18,78,47.18,0.00,0.00
Rutgers,Big 10,8-24,0.250,-5,146,6.68,120,44.69,108,89.44,174,20.42,2.81,71,49.52,72,49.52,0.00,0.00
N Dakota St,Summit Lg,20-10,0.667,+3,114,6.95,121,44.66,81,91.48,213,18.35,2.82,125,40.77,125,40.77,0.00,0.00
Northern Arizona,Big Sky,23-8,0.742,+1,103,7.06,122,44.56,53,94.76,294,14.97,2.73,130,40.59,131,40.41,0.76,0.24
Cal Baptist,Western Athletic,26-3,0.897,+11,82,7.22,123,44.54,45,95.63,307,14.09,2.67,207,37.05,205,37.05,0.00,0.00
E Washington,Big Sky,26-5,0.839,-1,98,7.12,124,44.53,150,86.14,103,23.56,2.55,206,37.06,213,36.82,0.89,0.11
Kent,Mid-American,18-10,0.643,-3,126,6.87,125,44.51,109,89.42,177,20.27,2.76,143,39.63,143,39.63,0.00,0.00
Northwestern,Big 10,9-21,0.300,+4,134,6.81,126,44.48,86,90.93,201,18.72,2.78,64,51.23,64,51.23,0.00,0.00
South Dakota,Summit Lg,20-11,0.645,,127,6.85,127,44.45,128,87.45,137,22.17,2.76,160,39.06,166,38.90,0.77,0.23
Charlotte,American Athletic,16-14,0.533,-6,130,6.84,128,44.30,139,86.65,117,22.82,2.75,97,42.93,95,42.95,0.52,0.48
Montana,Big Sky,21-8,0.724,+2,112,6.97,129,44.27,92,90.33,197,19.11,2.71,150,39.29,152,39.25,0.67,0.33
New Mexico,Mountain West,21-10,0.677,+6,124,6.87,130,44.16,134,87.10,133,22.24,2.72,183,38.31,183,38.31,0.00,0.00
Tulane,American Athletic,11-19,0.367,+4,158,6.58,131,43.99,136,86.82,132,22.34,2.79,100,42.62,101,42.69,0.48,0.52
Butler,Big East,14-16,0.467,-4,129,6.84,132,43.70,172,84.93,96,23.95,2.60,82,45.65,83,45.65,0.00,0.00
UC Irvine,Big West,21-8,0.724,+6,128,6.85,133,43.45,199,83.46,78,25.16,2.64,212,36.85,212,36.85,0.00,0.00
Fairfield,Metro Atlantic,28-1,0.966,,86,7.20,134,43.27,158,85.80,122,22.64,2.57,310,30.94,310,30.94,0.00,0.00
Old Dominion,Sun Belt,22-8,0.733,+1,118,6.94,135,43.19,197,83.69,83,24.67,2.70,171,38.66,163,38.98,0.36,0.64
Duquesne,Atlantic 10,20-12,0.625,+6,125,6.87,136,43.11,102,89.71,205,18.57,2.71,114,41.47,114,41.47,0.00,0.00
Bowling Green,Mid-American,16-13,0.552,-2,144,6.70,137,43.10,100,89.86,211,18.41,2.76,128,40.63,128,40.63,0.00,0.00
Liberty,Conference USA,16-15,0.516,+1,139,6.77,138,42.94,129,87.44,164,20.68,2.75,95,43.18,94,43.18,0.00,0.00
